description,scheduled_date,is_weekend_special
Fotografía algo que tenga exactamente tres colores,2026-08-31,FALSE
Captura algo que represente la palabra aventura,2026-09-01,FALSE
Haz una foto a algo que normalmente se ignora en la calle,2026-09-02,FALSE
Fotografía algo que parezca sacado de otra época,2026-09-03,FALSE
Captura algo que combine naturaleza y tecnología,2026-09-04,FALSE
Haz una foto a algo que solo existe en verano,2026-09-05,TRUE
Fotografía algo que tenga una forma perfecta,2026-09-06,TRUE
Captura algo que represente la palabra calma,2026-09-07,FALSE
Haz una foto a algo que esté suspendido en el aire,2026-09-08,FALSE
Fotografía algo que tenga exactamente cuatro colores,2026-09-09,FALSE
Captura algo que represente la velocidad del tiempo,2026-09-10,FALSE
Haz una foto a algo que normalmente ves de lejos pero hoy de cerca,2026-09-11,FALSE
Crea una composición con cinco objetos de distintos colores,2026-09-12,TRUE
